YEAR,ENERGY_SOURCE,GENERATION_MWh
2010,Petroleum,"32,476"
2010,Pumped Storage,"53,328"
2010,Solar Thermal and Photovoltaic,0
2010,Wind,"4,744,679"
2010,Wood and Wood Derived Fuels,"1,675,915"
2011,Total,"115,262,601"
2011,Coal,"5,228,585"
2011,Hydroelectric Conventional,"91,817,702"
2011,Natural Gas,"4,849,507"
2011,Nuclear,"4,806,278"
2011,Other,"159,915"
2011,Other Biomass,"168,872"
2011,Other Gases,"297,208"
2011,Petroleum,"37,147"
2011,Pumped Storage,"51,916"
2011,Solar Thermal and Photovoltaic,840
2011,Wind,"6,262,380"
2011,Wood and Wood Derived Fuels,"1,582,250"
2012,Total,"116,835,473"
2012,Coal,"3,762,957"
2012,Pumped Storage,"43,551"
2012,Hydroelectric Conventional,"89,464,355"
2012,Natural Gas,"5,437,593"
2012,Nuclear,"9,333,709"
2012,Other Gases,"405,337"
2012,Other,"146,910"
2012,Petroleum,"26,713"
2012,Solar Thermal and Photovoltaic,794
2012,Other Biomass,"238,989"
2012,Wind,"6,599,766"
2012,Wood and Wood Derived Fuels,"1,374,801"
2013,Total,"114,172,916"
2013,Coal,"6,740,425"
2013,Hydroelectric Conventional,"78,155,087"
2013,Natural Gas,"11,424,310"
2013,Nuclear,"8,460,890"
2013,Other,"129,103"
2013,Other Biomass,"283,904"
2013,Other Gases,"409,786"
2013,Petroleum,"24,363"
2013,Pumped Storage,"7,188"
2013,Solar Thermal and Photovoltaic,762
2013,Wind,"7,004,365"
2013,Wood and Wood Derived Fuels,"1,532,734"
2014,Total,"116,334,363"
2014,Coal,"6,719,928"
2014,Pumped Storage,"-4,753"
2014,Hydroelectric Conventional,"79,463,144"
2014,Natural Gas,"11,058,815"
2014,Nuclear,"9,497,321"
2014,Other Gases,"336,932"
2014,Other,"131,267"
2014,Petroleum,"23,541"
2014,Solar Thermal and Photovoltaic,729
2014,Other Biomass,"313,080"
2014,Wind,"7,267,794"
2014,Wood and Wood Derived Fuels,"1,526,564"
2015,Total,"109,287,458"
2015,Coal,"5,051,915"
2015,Pumped Storage,"40,021"
2015,Hydroelectric Conventional,"73,404,916"
2015,Natural Gas,"13,045,927"
2015,Nuclear,"8,160,912"
2015,Other Gases,"395,004"
2015,Other,"99,715"
2015,Petroleum,"21,671"
2015,Solar Thermal and Photovoltaic,790
2015,Other Biomass,"298,948"
2015,Wind,"7,075,385"
2015,Wood and Wood Derived Fuels,"1,692,254"
2016,Total,"114,086,582"
2016,Coal,"4,601,726"
2016,Pumped Storage,"-2,318"
2016,Hydroelectric Conventional,"78,345,809"
2016,Natural Gas,"10,982,195"
2016,Nuclear,"9,625,622"
2016,Other Gases,"401,642"
2016,Other,"59,751"
2016,Petroleum,"22,018"
2016,Solar Thermal and Photovoltaic,727
2016,Other Biomass,"299,322"
2016,Wind,"8,041,847"
2016,Wood and Wood Derived Fuels,"1,708,240"
2017,Total,"115,912,078"
2017,Coal,"5,489,504"
2017,Pumped Storage,"2,995"
2017,Hydroelectric Conventional,"82,182,855"
2017,Natural Gas,"10,849,269"
2017,Nuclear,"8,128,259"
2017,Other Gases,"355,925"
2017,Other,"55,942"
2017,Petroleum,"23,117"
