hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,3,151.32,150.78
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,4,152.35,151.46
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,5,153.56,151.81
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,6,154.91,152.90
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,7,155.70,153.57
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,8,155.84,153.94
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,9,155.99,154.41
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,10,156.12,154.84
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,11,155.99,155.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,12,156.36,156.38
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,1,156.45,156.93
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,2,157.50,157.63
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,3,158.64,158.13
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,4,159.86,158.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,5,161.24,159.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,6,162.03,159.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,7,162.67,160.39
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,8,162.97,160.90
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,9,163.33,161.63
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,10,164.05,162.67
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,11,163.49,162.84
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,12,163.41,163.44
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,1,163.77,164.36
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,2,164.25,164.50
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,3,165.78,165.34
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,4,166.67,165.65
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,5,168.18,166.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,6,169.42,167.11
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,7,169.93,167.48
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,8,170.36,168.09
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,9,170.71,168.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,10,170.76,169.27
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,11,171.23,170.56
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,12,170.69,170.75
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,1,171.18,171.94
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,2,171.76,172.17
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,3,172.86,172.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,4,174.30,173.19
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,5,176.03,173.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,6,176.82,174.30
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,7,177.77,175.13
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,8,178.37,175.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,9,178.44,176.49
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,10,178.89,177.30
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,11,178.77,178.12
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,12,178.92,179.06
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,1,177.86,178.82
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,2,179.73,180.32
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,3,180.86,180.66
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,4,182.42,181.21
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,5,184.28,181.87
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,6,185.48,182.66
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,7,186.21,183.33
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,8,186.74,183.97
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,9,186.26,184.17
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,10,186.72,185.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,11,186.46,185.86
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,12,186.12,186.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,1,186.05,187.28
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,2,185.83,186.60
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,3,188.10,188.02
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,4,190.11,188.82
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,5,191.70,188.99
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,6,192.51,189.34
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,7,193.03,189.86
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,8,193.14,190.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,9,193.79,191.61
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,10,193.57,191.90
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,11,192.51,192.02
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,12,191.48,191.98
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,1,191.11,192.60
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,2,191.65,192.59
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,3,192.48,192.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,4,194.73,193.48
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,5,196.05,193.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,6,196.02,192.51
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,7,196.04,192.65
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,8,195.53,192.23
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,9,194.61,192.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,10,193.48,191.85
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,11,191.55,191.10
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,12,191.32,192.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,1,191.30,193.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,2,190.95,192.07
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,3,191.95,192.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,4,192.64,191.51
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,5,193.86,190.53
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,6,193.93,190.17
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,7,192.34,188.81
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,8,191.70,188.24
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,9,189.24,186.98
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,10,187.25,185.65
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,11,185.33,184.76
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,12,182.79,183.66
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,1,180.53,182.29
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,2,180.73,182.04
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,3,180.56,181.19
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,4,180.19,179.29
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,5,181.04,177.68
